"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"technical report","3079760","  K-12 Computer Science Framework Steering Committee","","","","","","","","","","","","","","","","2016","","K-12 Computer Science Framework","","","978-1-4503-5278-9","","ACM","New York, NY, USA"
"article","175285","CORPORATE  Computer Science and Telecommunications Board","","","","Academic Careers for Experimental Computer Scientists and Engineers","87--90","","4","","10.1145/175276.175285","Commun. ACM","April 1994","37","4","","April","1994","0001-0782","","","","","","ACM","New York, NY, USA"
"article","77482","CORPORATE  Computer Science and Technology Board","","","","Scaling Up: A Research Agenda for Software Engineering","281--293","","13","","10.1145/77481.77482","Commun. ACM","March 1990","33","3","","March","1990","0001-0782","","","","","","ACM","New York, NY, USA"
"article","214931","CORPORATE  ASL Committee on Logic Education","","","","The 1984 Snowbird Report: Future Issues in Computer Science","490--493","","4","","10.1145/3532.214931","Commun. ACM","May 1985","28","5","","May","1985","0001-0782","","","","","","ACM","New York, NY, USA"
"article","1940523","  The SCIEnce project","","","","SymGrid-Par: Parallel Orchestration of Symbolic Computation Systems","213--216","","4","","10.1145/1940475.1940523","ACM Commun. Comput. Algebra","September/December 2010","44","3/4","","January","2011","1932-2240","","","","","","ACM","New York, NY, USA"
"technical report","2594500","  Compiled by the ACM Education Board","","","","","","","","","","","","","","","","1983","","ACM Curricula Recommendations for Related Computer Science Programs in Vocational-Technical Schools, Community and Junior Colleges, and Health Computing","","","0-89791-119-9","","ACM","New York, NY, USA"
"article","1940522","  The SCIEnce project","","","","Symbolic Computation Software Composability Protocol and Its Implementations","210--212","","3","","10.1145/1940475.1940522","ACM Commun. Comput. Algebra","September/December 2010","44","3/4","","January","2011","1932-2240","","","","","","ACM","New York, NY, USA"
"book","3108241","  ACM Committee for Computing Education in Community Colleges (CCECC)","","","","","","","","","","","","","","","","2017","","ACM Computer Science Curricular Guidance for Associate-Degree Transfer Programs with Infused Cybersecurity","","","978-1-4503-5369-4","","ACM","New York, NY, USA"
"article","2591715","Katrina  Falkner and Rebecca  Vivian and Nickolas J.G. Falkner","","","","Identifying Computer Science Self-regulated Learning Strategies","291--296","","6","computer science education, self-regulation strategies","10.1145/2591708.2591715","","","","","","","2014","","Proceedings of the 2014 Conference on Innovation &#38; Technology in Computer Science Education","ITiCSE '14","","978-1-4503-2833-3","Uppsala, Sweden","ACM","New York, NY, USA"
"article","1822206","Petek  A&#351;kar","","","","Computer Science Education in Turkey","328--328","","1","computer science education","10.1145/1822090.1822206","","","","","","","2010","","Proceedings of the Fifteenth Annual Conference on Innovation and Technology in Computer Science Education","ITiCSE '10","","978-1-60558-820-9","Bilkent, Ankara, Turkey","ACM","New York, NY, USA"
"article","1508889","Daniel D. Garcia and Robb  Cutler and Zachary  Dodds and Eric  Roberts and Alison  Young","","","","Rediscovering the Passion, Beauty, Joy, and Awe: Making Computing Fun Again, Continued","65--66","","2","computer science education","10.1145/1539024.1508889","SIGCSE Bull.","March 2009","41","1","","March","2009","0097-8418","","","","","","ACM","New York, NY, USA"
"article","1508889","Daniel D. Garcia and Robb  Cutler and Zachary  Dodds and Eric  Roberts and Alison  Young","","","","Rediscovering the Passion, Beauty, Joy, and Awe: Making Computing Fun Again, Continued","65--66","","2","computer science education","10.1145/1508865.1508889","","","","","","","2009","","Proceedings of the 40th ACM Technical Symposium on Computer Science Education","SIGCSE '09","","978-1-60558-183-5","Chattanooga, TN, USA","ACM","New York, NY, USA"
"article","2844608","Cindy  Norris","","","","An Examination of Layers of Quizzing in Two Computer Systems Courses","48--53","","6","computer science education, quizzing","10.1145/2839509.2844608","","","","","","","2016","","Proceedings of the 47th ACM Technical Symposium on Computing Science Education","SIGCSE '16","","978-1-4503-3685-7","Memphis, Tennessee, USA","ACM","New York, NY, USA"
"article","2818321","Nora  Escherle and Dorit  Assaf and Ashok  Basawapatna and Carmine  Maiello and Alexander  Repenning","","","","Launching Swiss Computer Science Education Week","11--16","","6","Broadening participation, cyberlearning, distance learning, multilingualism, national education system","10.1145/2818314.2818321","","","","","","","2015","","Proceedings of the Workshop in Primary and Secondary Computing Education","WiPSCE '15","","978-1-4503-3753-3","London, United Kingdom","ACM","New York, NY, USA"
"article","1734285","Valerie  Barr and Chun Wai  Liew and Rich  Salter","","","","Building Bridges to Other Departments: Three Strategies","64--65","","2","computational science, non-majors, outreach","10.1145/1734263.1734285","","","","","","","2010","","Proceedings of the 41st ACM Technical Symposium on Computer Science Education","SIGCSE '10","","978-1-4503-0006-3","Milwaukee, Wisconsin, USA","ACM","New York, NY, USA"
"article","3017685","Kimberly  Hughes and Carol L. Fletcher and Leigh Ann DeLyser and Anthony  Owen","","","","Building CS Teaching Capacity: Comparing Strategies for Achieving Large Scale Impact","667--668","","2","MOOC, computer science education, teacher certification","10.1145/3017680.3017685","","","","","","","2017","","Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education","SIGCSE '17","","978-1-4503-4698-6","Seattle, Washington, USA","ACM","New York, NY, USA"
"article","62419","CORPORATE  Computer System Architects","","","","Transputer-based Parallel Processing Products","860--863","","4","","10.1145/62297.62419","","","","","","","1988","","Proceedings of the Third Conference on Hypercube Concurrent Computers and Applications: Architecture, Software, Computer Systems, and General Issues - Volume 1","C<sup>3</sup>P","","0-89791-278-0","Pasadena, California, USA","ACM","New York, NY, USA"
"article","1121356","Michael R. Wick and Daniel E. Stevenson","","","","On Using Scheme to Introduce Prolog","41--45","","5","computer science education, programming languages, prolog, scheme, teaching strategy","10.1145/1124706.1121356","SIGCSE Bull.","March 2006","38","1","","March","2006","0097-8418","","","","","","ACM","New York, NY, USA"
"article","1121356","Michael R. Wick and Daniel E. Stevenson","","","","On Using Scheme to Introduce Prolog","41--45","","5","computer science education, programming languages, prolog, scheme, teaching strategy","10.1145/1121341.1121356","","","","","","","2006","","Proceedings of the 37th SIGCSE Technical Symposium on Computer Science Education","SIGCSE '06","","1-59593-259-3","Houston, Texas, USA","ACM","New York, NY, USA"
"article","2807715","Olgun  Sadik","","","","Encouraging Women to Become CS Teachers","57--61","","5","Computers science education, gender, teacher education, women","10.1145/2807565.2807715","","","","","","","2015","","Proceedings of the Third Conference on GenderIT","GenderIT '15","","978-1-4503-3596-6","Philadelphia, PA, USA","ACM","New York, NY, USA"
"article","62160","CORPORATE  Division of Computer Research and Technology Computer Center","","","","NIH System Descriptions","14--17","","4","","10.1145/62158.62160","SIGBIO Newsl.","Dec. 1987","9","4","","December","1987","0163-5697","","","","","","ACM","New York, NY, USA"
"article","1496634","Mark D Gross and James  Herbsleb and Susan  Finger and Mary  Shaw","","","","Strategies for Research About Design: A Multidisciplinary Graduate Workshop","4--6","","3","design research, design research education, science of design","10.1145/1496630.1496634","","","","","","","2007","","Proceedings of the 2007 Symposium on Science of Design","SoD '07","","978-1-60558-436-2","Arcata, California, USA","ACM","New York, NY, USA"
