"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","275770","CORPORATE  Office of the Vice Provost for Information Technology","","","","University Administrative Policy Number 60","511--518","","8","","","","","","","","","","","Internet Besieged","","","0-201-30820-7","","ACM Press/Addison-Wesley Publishing Co.","New York, NY, USA"
"article","958584","  Office of Technology Assessment","","","","Information Technology and Its Impact on American Eduction","7--13","","7","","10.1145/958581.958584","SIGCAS Comput. Soc.","Summer 1982","12","3","","July","1982","0095-2737","","","","","","ACM","New York, NY, USA"
"article","957900","  Office of Technology Assessment","","","","Study on Information Technology, Automation, and the Workplace","35--40","","6","","10.1145/957893.957900","SIGCAS Comput. Soc.","Winter 1982","12","1","","January","1982","0095-2737","","","","","","ACM","New York, NY, USA"
"technical report","2594500","  Compiled by the ACM Education Board","","","","","","","","","","","","","","","","1983","","ACM Curricula Recommendations for Related Computer Science Programs in Vocational-Technical Schools, Community and Junior Colleges, and Health Computing","","","0-89791-119-9","","ACM","New York, NY, USA"
"article","2808014","Bonnie  MacKellar and Gregory  Hislop and Mihaela  Sabin and Amber  Settle","","","","Information Technology and Computer Science Programs: How Do We Relate?","125--126","","2","computing curricula, information technology education","10.1145/2808006.2808014","","","","","","","2015","","Proceedings of the 16th Annual Conference on Information Technology Education","SIGITE '15","","978-1-4503-3835-6","Chicago, Illinois, USA","ACM","New York, NY, USA"
"article","3081326","Michael J. Oudshoorn and Alison  Clear and Janet  Carter and Joseph A. Abandoh-Sam and Christabel  Gonsalvez and Leo  Hitchcock and Shoba  Ittyipe and Aparna  Mahadev and Janice L. Pearce","","","","Integrating International Students into Computer Science Programs: Challenges and Strategies for Success","386--387","","2","computer science education, computing, information and communication technology., information systems, information technology, international students","10.1145/3059009.3081326","","","","","","","2017","","Proceedings of the 2017 ACM Conference on Innovation and Technology in Computer Science Education","ITiCSE '17","","978-1-4503-4704-4","Bologna, Italy","ACM","New York, NY, USA"
"article","3141207","Soomin  Kim and Wookjae  Maeng and Cindy  Oh and Joonmin  Lee and Seo-young  Lee and Jeewon  Choi and Gil Whan Hwang and Guhyun  Hwang and Hyunsung  Kim and Joonseok  Kim and Joonhwan  Lee","","","","Immersive VR for Numerical Engagement","64:1--64:2","64","2","engagement strategies, numeracy, numerical information","10.1145/3139131.3141207","","","","","","","2017","","Proceedings of the 23rd ACM Symposium on Virtual Reality Software and Technology","VRST '17","","978-1-4503-5548-3","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","2675222","John  Vines and Peter C. Wright and David  Silver and Maggie  Winchcombe and Patrick  Olivier","","","","Authenticity, Relatability and Collaborative Approaches to Sharing Knowledge About Assistive Living Technology","82--94","","13","ageing, assistive technology, co-design, older people, online health communities, peer-to-peer healthcare","10.1145/2675133.2675222","","","","","","","2015","","Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work &#38; Social Computing","CSCW '15","","978-1-4503-2922-4","Vancouver, BC, Canada","ACM","New York, NY, USA"
"article","2538997","Yan  Bai and Xinli  Wang","","","","ITSEED: Hands-on Labs for IT Security Education (Abstract Only)","739--739","","1","information technology, security education","10.1145/2538862.2538997","","","","","","","2014","","Proceedings of the 45th ACM Technical Symposium on Computer Science Education","SIGCSE '14","","978-1-4503-2605-6","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","2934494","Mike  Mannion and Juha  Savolainen","","","","Choosing Reusable Software Strategies","227--231","","5","reuse, strategy","10.1145/2934466.2934494","","","","","","","2016","","Proceedings of the 20th International Systems and Software Product Line Conference","SPLC '16","","978-1-4503-4050-2","Beijing, China","ACM","New York, NY, USA"
"article","947149","Elizabeth  Lawley and Tona  Henderson","","","","Understanding Gendered Attrition in IT Programs","122--125","","4","information technology education, women","10.1145/947121.947149","","","","","","","2003","","Proceedings of the 4th Conference on Information Technology Curriculum","CITC4 '03","","1-58113-770-2","Lafayette, Indiana, USA","ACM","New York, NY, USA"
"article","2047653","David Matthew Whittinghill and Kyle D. Lutes","","","","Teaching Enterprise Application Development: Strategies and Challenges","221--226","","6","education, enterprise application development, teaching","10.1145/2047594.2047653","","","","","","","2011","","Proceedings of the 2011 Conference on Information Technology Education","SIGITE '11","","978-1-4503-1017-8","West Point, New York, USA","ACM","New York, NY, USA"
"article","1999819","Angela  Carbone and Jessica  Wong and Jason  Ceddia","","","","A Scheme for Improving ICT Units with Critically Low Student Satisfaction","253--257","","5","action research, education quality in ict, ict education, teaching strategy","10.1145/1999747.1999819","","","","","","","2011","","Proceedings of the 16th Annual Joint Conference on Innovation and Technology in Computer Science Education","ITiCSE '11","","978-1-4503-0697-3","Darmstadt, Germany","ACM","New York, NY, USA"
"article","3133315","Antonio Mauro Barbosa de Oliveira","","","","Social Flipped Classroom, an Innovative Strategy to Improve R&#38;D on a Computer Technological Park","1--3","","3","education for information systems, flipped classroom.","10.1145/3126858.3133315","","","","","","","2017","","Proceedings of the 23rd Brazillian Symposium on Multimedia and the Web","WebMedia '17","","978-1-4503-5096-9","Gramado, RS, Brazil","ACM","New York, NY, USA"
"article","2047657","Chia-Chi  Teng and Joseph J. Ekstrom","","","","A Health IT Application Domain Course for a Traditional IT Program","239--244","","6","health, information technology education","10.1145/2047594.2047657","","","","","","","2011","","Proceedings of the 2011 Conference on Information Technology Education","SIGITE '11","","978-1-4503-1017-8","West Point, New York, USA","ACM","New York, NY, USA"
"article","2380557","Bryan S. Goda and Robert  Friedman","","","","Designing a Masters Program in Cybersecurity and Leadership","9--12","","4","cybersecurity, information technology education","10.1145/2380552.2380557","","","","","","","2012","","Proceedings of the 13th Annual Conference on Information Technology Education","SIGITE '12","","978-1-4503-1464-0","Calgary, Alberta, Canada","ACM","New York, NY, USA"
"article","2591715","Katrina  Falkner and Rebecca  Vivian and Nickolas J.G. Falkner","","","","Identifying Computer Science Self-regulated Learning Strategies","291--296","","6","computer science education, self-regulation strategies","10.1145/2591708.2591715","","","","","","","2014","","Proceedings of the 2014 Conference on Innovation &#38; Technology in Computer Science Education","ITiCSE '14","","978-1-4503-2833-3","Uppsala, Sweden","ACM","New York, NY, USA"
"article","305940","Marijana  Lomic and Zoran  Putnik","","","","On Distance Education Courseware","194--","","","WWW, computers in education, learning strategies, multimedia","10.1145/384267.305940","SIGCSE Bull.","Sept. 1999","31","3","","June","1999","0097-8418","","","","","","ACM","New York, NY, USA"
"article","305940","Marijana  Lomic and Zoran  Putnik","","","","On Distance Education Courseware","194--","","","WWW, computers in education, learning strategies, multimedia","10.1145/305786.305940","","","","","","","1999","","Proceedings of the 4th Annual SIGCSE/SIGCUE ITiCSE Conference on Innovation and Technology in Computer Science Education","ITiCSE '99","","1-58113-087-2","Cracow, Poland","ACM","New York, NY, USA"
"article","2381098","Sheryl  Burgstahler and Richard E. Ladner and Scott  Bellman","","","","Strategies for Increasing the Participation in Computing of Students with Disabilities","42--48","","7","accessibility, assistive technology, disability, diversity, universal design","10.1145/2381083.2381098","ACM Inroads","December 2012","3","4","","December","2012","2153-2184","","","","","","ACM","New York, NY, USA"
"article","2667204","Angela  Carbone and Jason  Ceddia and   Simon and Daryl  D'Souza and Raina  Mason","","","","Student Concerns in Introductory Programming Courses","41--50","","10","ICT education, education quality in ICT, teaching strategy, thematic analysis","","","","","","","","2013","","Proceedings of the Fifteenth Australasian Computing Education Conference - Volume 136","ACE '13","","978-1-921770-21-0","Adelaide, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia"
"article","1095758","David W. Valentine","","","","Practical Computer Security: A New Service Course Based Upon the National Strategy to Secure Cyberspace","185--189","","5","education, model syllabi, security","10.1145/1095714.1095758","","","","","","","2005","","Proceedings of the 6th Conference on Information Technology Education","SIGITE '05","","1-59593-252-6","Newark, NJ, USA","ACM","New York, NY, USA"
"article","1565811","W. Richards Adrion and Renee  Fall","","","","Broadening Participation: A Community College Strategy","46--51","","6","broadening participation in computing, community colleges, information technology education and workforce","10.1145/1565799.1565811","","","","","","","2009","","The Fifth Richard Tapia Celebration of Diversity in Computing Conference: Intellect, Initiatives, Insight, and Innovations","TAPIA '09","","978-1-60558-217-7","Portland, Oregon","ACM","New York, NY, USA"
"article","3027444","Cecilia  Aguerrebere and Crist&#243;bal  Cobo and Marcela  Gomez and Mat&#237;as  Mateu","","","","Strategies for Data and Learning Analytics Informed National Education Policies: The Case of Uruguay","449--453","","5","big data, education policies, plan ceibal, technology enhanced learning","10.1145/3027385.3027444","","","","","","","2017","","Proceedings of the Seventh International Learning Analytics &#38; Knowledge Conference","LAK '17","","978-1-4503-4870-6","Vancouver, British Columbia, Canada","ACM","New York, NY, USA"
"article","2677875","Mohammad Ubaidullah Bokhari and Sadaf  Ahmad","","","","Multi-Agent Based E-Learning Systems: A Comparative Study","20:1--20:6","20","6","Agent Technology, E-learning, Education, Multi-agent system","10.1145/2677855.2677875","","","","","","","2014","","Proceedings of the 2014 International Conference on Information and Communication Technology for Competitive Strategies","ICTCS '14","","978-1-4503-3216-3","Udaipur, Rajasthan, India","ACM","New York, NY, USA"
"article","2536607","Ana  Garc&#237;a-Valc&#225;rcel and Ver&#243;nica  Basilotta","","","","How Elementary School Students Evaluate the Learning Strategy of Collaborative Projects Using ICT","461--466","","6","collaborative learning, evaluating education, teaching using ICT, technology for learning","10.1145/2536536.2536607","","","","","","","2013","","Proceedings of the First International Conference on Technological Ecosystem for Enhancing Multiculturality","TEEM '13","","978-1-4503-2345-1","Salamanca, Spain","ACM","New York, NY, USA"
"article","2870663","Fabiane Barreto Vavassori Benitti and Leonardo  Sommariva","","","","Evaluation of a Game Used to Teach Usability to Undergraduate Students in Computer Science","21--39","","19","educational games, learning strategies, serious games, teaching strategies, usability engineering","","J. Usability Studies","November 2015","11","1","","November","2015","1931-3357","","","","","","Usability Professionals' Association","Bloomingdale, IL"
