"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"technical report","3079760","  K-12 Computer Science Framework Steering Committee","","","","","","","","","","","","","","","","2016","","K-12 Computer Science Framework","","","978-1-4503-5278-9","","ACM","New York, NY, USA"
"article","175285","CORPORATE  Computer Science and Telecommunications Board","","","","Academic Careers for Experimental Computer Scientists and Engineers","87--90","","4","","10.1145/175276.175285","Commun. ACM","April 1994","37","4","","April","1994","0001-0782","","","","","","ACM","New York, NY, USA"
"article","77482","CORPORATE  Computer Science and Technology Board","","","","Scaling Up: A Research Agenda for Software Engineering","281--293","","13","","10.1145/77481.77482","Commun. ACM","March 1990","33","3","","March","1990","0001-0782","","","","","","ACM","New York, NY, USA"
"article","1940523","  The SCIEnce project","","","","SymGrid-Par: Parallel Orchestration of Symbolic Computation Systems","213--216","","4","","10.1145/1940475.1940523","ACM Commun. Comput. Algebra","September/December 2010","44","3/4","","January","2011","1932-2240","","","","","","ACM","New York, NY, USA"
"article","214931","CORPORATE  ASL Committee on Logic Education","","","","The 1984 Snowbird Report: Future Issues in Computer Science","490--493","","4","","10.1145/3532.214931","Commun. ACM","May 1985","28","5","","May","1985","0001-0782","","","","","","ACM","New York, NY, USA"
"technical report","2594500","  Compiled by the ACM Education Board","","","","","","","","","","","","","","","","1983","","ACM Curricula Recommendations for Related Computer Science Programs in Vocational-Technical Schools, Community and Junior Colleges, and Health Computing","","","0-89791-119-9","","ACM","New York, NY, USA"
"article","1940522","  The SCIEnce project","","","","Symbolic Computation Software Composability Protocol and Its Implementations","210--212","","3","","10.1145/1940475.1940522","ACM Commun. Comput. Algebra","September/December 2010","44","3/4","","January","2011","1932-2240","","","","","","ACM","New York, NY, USA"
"book","3108241","  ACM Committee for Computing Education in Community Colleges (CCECC)","","","","","","","","","","","","","","","","2017","","ACM Computer Science Curricular Guidance for Associate-Degree Transfer Programs with Infused Cybersecurity","","","978-1-4503-5369-4","","ACM","New York, NY, USA"
"article","1639684","G. M. Poor and Laura M. Leventhal and Julie  Barnes and Duke R. Hutchings","","","","Accessibility: Understanding Attitudes of CS Students","219--220","","2","accessibility, computer science education, usability","10.1145/1639642.1639684","","","","","","","2009","","Proceedings of the 11th International ACM SIGACCESS Conference on Computers and Accessibility","Assets '09","","978-1-60558-558-1","Pittsburgh, Pennsylvania, USA","ACM","New York, NY, USA"
"article","2160548","G. Michael  Poor and Laura M.  Leventhal and Julie  Barnes and Duke R.  Hutchings and Paul  Albee and Laura  Campbell","","","","No User Left Behind: Including Accessibility in Student Projects and the Impact on CS Students&Rsquo; Attitudes","5:1--5:22","5","22","Usability, accessibility, computer science education","10.1145/2160547.2160548","Trans. Comput. Educ.","April 2012","12","2","","April","2012","1946-6226","","","","","","ACM","New York, NY, USA"
"article","3134808","Nidhi Rajendra Palan and Vicki L. Hanson and Matt  Huenerfauth and Stephanie  Ludi","","","","Teaching Inclusive Thinking in Undergraduate Computing","399--400","","2","accessibility, computer science education, ethics","10.1145/3132525.3134808","","","","","","","2017","","Proceedings of the 19th International ACM SIGACCESS Conference on Computers and Accessibility","ASSETS '17","","978-1-4503-4926-0","Baltimore, Maryland, USA","ACM","New York, NY, USA"
"article","1352213","Andrew  McGettrick and Eric  Roberts and Daniel D. Garcia and Chris  Stevenson","","","","Rediscovering the Passion, Beauty, Joy and Awe: Making Computing Fun Again","217--218","","2","computer science education","10.1145/1352322.1352213","SIGCSE Bull.","March 2008","40","1","","March","2008","0097-8418","","","","","","ACM","New York, NY, USA"
"article","1352213","Andrew  McGettrick and Eric  Roberts and Daniel D. Garcia and Chris  Stevenson","","","","Rediscovering the Passion, Beauty, Joy and Awe: Making Computing Fun Again","217--218","","2","computer science education","10.1145/1352135.1352213","","","","","","","2008","","Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education","SIGCSE '08","","978-1-59593-799-5","Portland, OR, USA","ACM","New York, NY, USA"
"article","1141851","Joseph  DeLuca and David A. Joiner","","","","Incorporating Computational Science Activities in High School Algebra","356--356","","1","algebra, computational science education","10.1145/1141753.1141851","","","","","","","2006","","Proceedings of the 6th ACM/IEEE-CS Joint Conference on Digital Libraries","JCDL '06","","1-59593-354-9","Chapel Hill, NC, USA","ACM","New York, NY, USA"
"article","1352313","Lillian N. Cassel and Michael  Caspersen and Gordon  Davies and Renee  McCauley and Andrew  McGettrick and Art  Pyster and Robert  Sloan","","","","Curriculum Update from the ACM Education Board: CS2008 and a Report on Masters Degrees","530--531","","2","computer science education, computing education, curriculum","10.1145/1352135.1352313","","","","","","","2008","","Proceedings of the 39th SIGCSE Technical Symposium on Computer Science Education","SIGCSE '08","","978-1-59593-799-5","Portland, OR, USA","ACM","New York, NY, USA"
"article","1352313","Lillian N. Cassel and Michael  Caspersen and Gordon  Davies and Renee  McCauley and Andrew  McGettrick and Art  Pyster and Robert  Sloan","","","","Curriculum Update from the ACM Education Board: CS2008 and a Report on Masters Degrees","530--531","","2","computer science education, computing education, curriculum","10.1145/1352322.1352313","SIGCSE Bull.","March 2008","40","1","","March","2008","0097-8418","","","","","","ACM","New York, NY, USA"
"article","2999565","Vesa  Lappalainen and Antti-Jussi  Lakanen and Harri  H&#246;gmander","","","","Paper-based vs Computer-based Exams in CS1","172--173","","2","CS1, computer science education, rainfall","10.1145/2999541.2999565","","","","","","","2016","","Proceedings of the 16th Koli Calling International Conference on Computing Education Research","Koli Calling '16","","978-1-4503-4770-9","Koli, Finland","ACM","New York, NY, USA"
"article","2544261","David  Hovemeyer and Jaime  Spacco and Robert  Duvall and Stephen  Edwards and Amruth  Kumar and Andrew  Petersen and Daniel  Zingaro","","","","Using and Sharing Programming Exercises to Improve Introductory Courses (Abstract Only)","737--737","","1","computer science education, online exercises","10.1145/2538862.2544261","","","","","","","2014","","Proceedings of the 45th ACM Technical Symposium on Computer Science Education","SIGCSE '14","","978-1-4503-2605-6","Atlanta, Georgia, USA","ACM","New York, NY, USA"
"article","2602483","Judith  Gal-Ezer and Chris  Stephenson","","","","A Tale of Two Countries: Successes and Challenges in K-12 Computer Science Education in Israel and the United States","8:1--8:18","8","18","Computer science, computer science educators, computer science teachers","10.1145/2602483","Trans. Comput. Educ.","June 2014","14","2","","June","2014","1946-6226","","","","","","ACM","New York, NY, USA"
"article","2189860","Jody  Paul","","","","Living in a Computing World: A Step Towards Making Knowledge of Computing Accessible to Every Student","78--81","","4","CS principles, computer science education, pedagogy","10.1145/2189835.2189860","ACM Inroads","June 2012","3","2","","June","2012","2153-2184","","","","","","ACM","New York, NY, USA"
"article","2869109","Mackenzie  Leake and Colleen  Lewis","","","","Designing a New System for Sharing Computer Science Teaching Resources","321--324","","4","Online communities, computer science education","10.1145/2818052.2869109","","","","","","","2016","","Proceedings of the 19th ACM Conference on Computer Supported Cooperative Work and Social Computing Companion","CSCW '16 Companion","","978-1-4503-3950-6","San Francisco, California, USA","ACM","New York, NY, USA"
