"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","1082381","  Dr. Usability","","","","Growing Designers","13--","","","","10.1145/1082369.1082381","interactions","September + October 2005","12","5","","September","2005","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1096573","  Dr. Usability","","","","Is the There There?","11--","","","","10.1145/1096554.1096573","interactions","November + December 2005","12","6","","November","2005","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1142175","  Dr. Usability","","","","The Globalization Malaise","7--8","","2","","10.1145/1142169.1142175","interactions","July + August 2006","13","4","","July","2006","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1052450","  Dr. Usability","","","","Greeking and Internationalization","10--","","","","10.1145/1052438.1052450","interactions","March + April 2005","12","2","","March","2005","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1151320","  Dr. Usability","","","","Too Smart and Too Rich?","7--9","","3","","10.1145/1151314.1151320","interactions","September + October 2006","13","5","","September","2006","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1242429","  Dr. Usability","","","","Hunting for Patterns and Contradictions","9--","","","","10.1145/1242421.1242429","interactions","May + June 2007","14","3","","May","2007","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1116725","  Dr. Usability","","","","What's the Right Thing?","9--","","","","10.1145/1116715.1116725","interactions","March + April 2006","13","2","","March","2006","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1125872","  Dr. Usability","","","","Lost in the Localization Forest","8--","","","","10.1145/1125864.1125872","interactions","May + June 2006","13","3","","May","2006","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1060197","  Dr. Usability","","","","Distressed in a Cube","9--11","","3","","10.1145/1060189.1060197","interactions","May + June 2005","12","3","","May","2005","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1189984","  Dr. Usability","","","","Cool vs. Usable","9--10","","2","","10.1145/1189976.1189984","interactions","January + February 2007","14","1","","January","2007","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1070974","  Dr. Usability","","","","Seeing is Believing","13--","","","","10.1145/1070960.1070974","interactions","July + August 2005","12","4","","July","2005","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1041287","  Dr. Usability","","","","Ask Dr. Usability","9--9","","1","","10.1145/1041280.1041287","interactions","January + February 2005","12","1","","January","2005","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1109081","  Dr. Usability","","","","Prototyping and Plagiarism","11--11","","1","","10.1145/1109069.1109081","interactions","January + February 2006","13","1","","January","2006","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1288521","  Dr. Usability","","","","Chain of Command","9--","","","","10.1145/1288515.1288521","interactions","September + October 2007","14","5","","September","2007","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1167956","  Dr. Usability","","","","I Like It Like That!","9--10","","2","","10.1145/1167948.1167956","interactions","November + December 2006","13","6","","November","2006","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1273969","  Dr. Usability","","","","New Math","9--","","","","10.1145/1273961.1273969","interactions","July + August 2007","14","4","","July","2007","1072-5520","","","","","","ACM","New York, NY, USA"
"technical report","3106077","  The Committee on European Computing Education (CECE)","","","","","","","","","","","","","","","","2017","","Informatics Education in Europe: Are We All In The Same Boat?","","","978-1-4503-5361-8","","ACM","New York, NY, USA"
"book","3108241","  ACM Committee for Computing Education in Community Colleges (CCECC)","","","","","","","","","","","","","","","","2017","","ACM Computer Science Curricular Guidance for Associate-Degree Transfer Programs with Infused Cybersecurity","","","978-1-4503-5369-4","","ACM","New York, NY, USA"
"article","1149374","  Social Computing Research Group","","","","Understanding Computer Mediated Social Experience: Implications for CSCL","617--621","","5","face-to-face learning, networked multiplayer games, online learning, role of the expert, social engagement","","","","","","","","2005","","Proceedings of th 2005 Conference on Computer Support for Collaborative Learning: Learning 2005: The Next 10 Years!","CSCL '05","","0-8058-5782-6","Taipei, Taiwan","International Society of the Learning Sciences",""
"book","2534860","  Joint Task Force on Computing Curricula, Association for Computing Machinery (ACM) and IEEE Computer Society","","","","","","","","","","","","","","","","2013","","Computer Science Curricula 2013: Curriculum Guidelines for Undergraduate Degree Programs in Computer Science","","","978-1-4503-2309-3","","ACM","New York, NY, USA"
"technical report","2594500","  Compiled by the ACM Education Board","","","","","","","","","","","","","","","","1983","","ACM Curricula Recommendations for Related Computer Science Programs in Vocational-Technical Schools, Community and Junior Colleges, and Health Computing","","","0-89791-119-9","","ACM","New York, NY, USA"
"article","767626","  The journal of computing sciences in colleges staff","","","","Steering Committee - CCSC Central Plains Conference","160--161","","2","","","J. Comput. Sci. Coll.","April 2003","18","4","","April","2003","1937-4771","","","","","","Consortium for Computing Sciences in Colleges","USA"
"technical report","2594168","  The Joint Task Force on Computing Curricula","","","","","","","","","","","","","","","","2004","","Curriculum Guidelines for Undergraduate Degree Programs in Software Engineering","","","","","ACM","New York, NY, USA"
"article","214931","CORPORATE  ASL Committee on Logic Education","","","","The 1984 Snowbird Report: Future Issues in Computer Science","490--493","","4","","10.1145/3532.214931","Commun. ACM","May 1985","28","5","","May","1985","0001-0782","","","","","","ACM","New York, NY, USA"
"technical report","2965631","  The Joint Task Force on Computing Curricula","","","","","","","","","","","","","","","","2015","","Curriculum Guidelines for Undergraduate Degree Programs in Software Engineering","","","","","ACM","New York, NY, USA"
"article","1822094","Johan  Aberg","","","","Challenges with Teaching HCI Early to Computer Students","3--7","","5","education, human-computer interaction, usability, usable systems","10.1145/1822090.1822094","","","","","","","2010","","Proceedings of the Fifteenth Annual Conference on Innovation and Technology in Computer Science Education","ITiCSE '10","","978-1-60558-820-9","Bilkent, Ankara, Turkey","ACM","New York, NY, USA"
"article","1639684","G. M. Poor and Laura M. Leventhal and Julie  Barnes and Duke R. Hutchings","","","","Accessibility: Understanding Attitudes of CS Students","219--220","","2","accessibility, computer science education, usability","10.1145/1639642.1639684","","","","","","","2009","","Proceedings of the 11th International ACM SIGACCESS Conference on Computers and Accessibility","Assets '09","","978-1-60558-558-1","Pittsburgh, Pennsylvania, USA","ACM","New York, NY, USA"
"article","2160548","G. Michael  Poor and Laura M.  Leventhal and Julie  Barnes and Duke R.  Hutchings and Paul  Albee and Laura  Campbell","","","","No User Left Behind: Including Accessibility in Student Projects and the Impact on CS Students&Rsquo; Attitudes","5:1--5:22","5","22","Usability, accessibility, computer science education","10.1145/2160547.2160548","Trans. Comput. Educ.","April 2012","12","2","","April","2012","1946-6226","","","","","","ACM","New York, NY, USA"
"article","3048412","Zikai Alex Wen and Yiming  Li and Reid  Wade and Jeffrey  Huang and Amy  Wang","","","","What.Hack: Learn Phishing Email Defence the Fun Way","234--237","","4","educational game, usable security","10.1145/3027063.3048412","","","","","","","2017","","Proceedings of the 2017 CHI Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '17","","978-1-4503-4656-6","Denver, Colorado, USA","ACM","New York, NY, USA"
"book","539380","  Association For Computing Machinery","","","","","","","","","","","","","","","","1982","","Proceedings of the AdaTEC Conference on ADA","","","0897910877","","ACM","New York, NY, USA"
"article","506556","Danielle  Gobert and Virginia  Howlett and Carolyn  Snyder and Howard  Tamler and Thomas S. Tullis and Chauncey  Wilson","","","","What the Best Usability Specialists Are Made of","706--707","","2","backgrounds, careers, education, usability","10.1145/506443.506556","","","","","","","2002","","CHI '02 Extended Abstracts on Human Factors in Computing Systems","CHI EA '02","","1-58113-454-1","Minneapolis, Minnesota, USA","ACM","New York, NY, USA"
"article","882062","Roger  Grice and Bill  Hart-Davidson","","","","Mapping the Expanding Landscape of Usability: The Case of Distributed Education","159--167","","9","HCI, distance education, distributed education, usability","10.1145/882061.882062","ACM J. Comput. Doc.","November 2002","26","4","","November","2002","1527-6805","","","","","","ACM","New York, NY, USA"
"article","3025673","Elissa M. Redmiles and Sean  Kross and Michelle L. Mazurek","","","","Where is the Digital Divide?: A Survey of Security, Privacy, and Socioeconomics","931--936","","6","computer science education, digital divide, usable security","10.1145/3025453.3025673","","","","","","","2017","","Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems","CHI '17","","978-1-4503-4655-9","Denver, Colorado, USA","ACM","New York, NY, USA"
"article","122392","CORPORATE  The Parallel Computing Forum","","","","PCF Parallel Fortran Extensions","1--57","","57","","10.1145/122391.122392","SIGPLAN Fortran Forum","Sept. 1991","10","3","","September","1991","1061-7264","","","","","","ACM","New York, NY, USA"
"article","1111374","Eduardo Hideki Tanaka and S&#237;lvia Am&#233;lia Bim and Helo&#237;sa Vieira da Rocha","","","","Comparing Accessibility Evaluation and Usability Evaluation in Hag\'{A}Qu\^{E}","139--147","","9","accessibility evaluation, computers and education, usability evaluation","10.1145/1111360.1111374","","","","","","","2005","","Proceedings of the 2005 Latin American Conference on Human-computer Interaction","CLIHC '05","","1-59593-224-0","Cuernavaca, Mexico","ACM","New York, NY, USA"
"book","525600","  Association For Computing Machinery","","","","","","","","","","","","","","","","1996","","Vrst 96: Virtual Reality Software and Technology","","","0897918258","","ACM","New York, NY, USA"
"article","1029567","Katherine E. Thompson and Evelyn P. Rozanski and Anne R. Haake","","","","Here, There, Anywhere: Remote Usability Testing That Works","132--137","","6","human-computer interaction, remote usability testing, usability testing","10.1145/1029533.1029567","","","","","","","2004","","Proceedings of the 5th Conference on Information Technology Education","CITC5 '04","","1-58113-936-5","Salt Lake City, UT, USA","ACM","New York, NY, USA"
"article","947162","Evelyn P. Rozanski and Anne R. Haake","","","","The Many Facets of HCI","180--185","","6","design methods, human-computer interaction, ubiquitous computing, usability, usability engineering","10.1145/947121.947162","","","","","","","2003","","Proceedings of the 4th Conference on Information Technology Curriculum","CITC4 '03","","1-58113-770-2","Lafayette, Indiana, USA","ACM","New York, NY, USA"
"article","2336736","Deborah  Richards and Iwan  Kelaiah","","","","Usability Attributes in Virtual Learning Environments","9:1--9:10","9","10","education, usability attributes, virtual worlds","10.1145/2336727.2336736","","","","","","","2012","","Proceedings of The 8th Australasian Conference on Interactive Entertainment: Playing the System","IE '12","","978-1-4503-1410-7","Auckland, New Zealand","ACM","New York, NY, USA"
"article","2071585","Peta  Wyeth and Mitchell  McEwan and Paul  Roe and Ian  MacColl","","","","Expressive Interactions: Tablet Usability for Young Mobile Learners","311--314","","4","design, educational technology, mobile learning","10.1145/2071536.2071585","","","","","","","2011","","Proceedings of the 23rd Australian Computer-Human Interaction Conference","OzCHI '11","","978-1-4503-1090-1","Canberra, Australia","ACM","New York, NY, USA"
