"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","1096573","  Dr. Usability","","","","Is the There There?","11--","","","","10.1145/1096554.1096573","interactions","November + December 2005","12","6","","November","2005","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1010912","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering","33--36","","4","","10.1145/1010904.1010912","SIGSOFT Softw. Eng. Notes","July 1982","7","3","","July","1982","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1012634","  Software Engineering Notes Staff","","","","Proceedings of the ACM Ada TEC Future Ada Environment Workshop","77--117","","41","","10.1145/1012621.1012634","SIGSOFT Softw. Eng. Notes","April 1985","10","2","","April","1985","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010780","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering: Part 8","22--24","","3","","10.1145/1010773.1010780","SIGSOFT Softw. Eng. Notes","January 1979","4","1","","January","1979","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010863","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering","80--83","","4","","10.1145/1010832.1010863","SIGSOFT Softw. Eng. Notes","July 1981","6","3","","July","1981","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1082381","  Dr. Usability","","","","Growing Designers","13--","","","","10.1145/1082369.1082381","interactions","September + October 2005","12","5","","September","2005","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1010902","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering","75--79","","5","","10.1145/1010891.1010902","SIGSOFT Softw. Eng. Notes","July 1983","8","3","","July","1983","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010732","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering: Part 3","24--28","","5","","10.1145/1010730.1010732","SIGSOFT Softw. Eng. Notes","July 1977","2","4","","July","1977","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010961","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering","99--102","","4","","10.1145/1010954.1010961","SIGSOFT Softw. Eng. Notes","January 1983","8","1","","January","1983","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1012344","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering","62--66","","5","","10.1145/1012339.1012344","SIGSOFT Softw. Eng. Notes","July 1984","9","4","","July","1984","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010761","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering: Part 6","31--33","","3","","10.1145/1010751.1010761","SIGSOFT Softw. Eng. Notes","July 1978","3","3","","July","1978","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010939","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering","145--146","","2","","10.1145/1010925.1010939","SIGSOFT Softw. Eng. Notes","April 1984","9","2","","April","1984","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010739","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering: Part 5","28--32","","5","","10.1145/1010734.1010739","SIGSOFT Softw. Eng. Notes","January 1978","3","1","","January","1978","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010790","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering","39--44","","6","","10.1145/1010782.1010790","SIGSOFT Softw. Eng. Notes","January 1980","5","1","","January","1980","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010767","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering: Part 9","19--20","","2","","10.1145/1010763.1010767","SIGSOFT Softw. Eng. Notes","April 1979","4","2","","April","1979","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010824","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering","82--83","","2","","10.1145/1010809.1010824","SIGSOFT Softw. Eng. Notes","January 1982","7","1","","January","1982","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010724","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering: Part 2","6--14","","9","","10.1145/1010723.1010724","SIGSOFT Softw. Eng. Notes","January 1977","2","1","","January","1977","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010923","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering","49--54","","6","","10.1145/1010914.1010923","SIGSOFT Softw. Eng. Notes","October 1983","8","5","","October","1983","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010779","  Software Engineering Notes Staff","","","","A Note on the Psychology of Abstraction (PGN)","21--21","","1","","10.1145/1010773.1010779","SIGSOFT Softw. Eng. Notes","January 1979","4","1","","January","1979","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010749","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering: Part 6","31--33","","3","","10.1145/1010741.1010749","SIGSOFT Softw. Eng. Notes","October 1978","3","4","","October","1978","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1012452","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering","74--81","","8","","10.1145/1012443.1012452","SIGSOFT Softw. Eng. Notes","January 1985","10","1","","January","1985","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1012622","  Software Engineering Notes Staff","","","","Questionnaire Responses","12--15","","4","","10.1145/1012621.1012622","SIGSOFT Softw. Eng. Notes","April 1985","10","2","","April","1985","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010682","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering","9--32","","24","","10.1145/1010680.1010682","SIGSOFT Softw. Eng. Notes","October 1976","1","2","","October","1976","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1012635","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering","118--125","","8","","10.1145/1012621.1012635","SIGSOFT Softw. Eng. Notes","April 1985","10","2","","April","1985","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010952","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering","90--94","","5","","10.1145/1010941.1010952","SIGSOFT Softw. Eng. Notes","October 1984","9","5","","October","1984","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1010778","  Software Engineering Notes Staff","","","","An Alternative to Structured Programming: Syndicate Programming","19--20","","2","","10.1145/1010773.1010778","SIGSOFT Softw. Eng. Notes","January 1979","4","1","","January","1979","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1012495","  Software Engineering Notes Staff","","","","Abstracts in Software Engineering","109--117","","9","","10.1145/1012483.1012495","SIGSOFT Softw. Eng. Notes","July 1985","10","3","","July","1985","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1102108","  ACM SIGSOFT Software Engineering Notes staff","","","","Frontmatter (TOC, Letter from the Vice-chair, Letters to the Editor, Programmer Productivity, Software Assurance, Workshop and Conference Summaries, Calendar of Events)","0--0","","1","","10.1145/1102107.1102108","SIGSOFT Softw. Eng. Notes","November 2005","30","6","","November","2005","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1218777","  ACM SIGSOFT Software Engineering Notes staff","","","","Frontmatter (TOC, Miscellaneous Material)","0--0","","1","","10.1145/1218776.1218777","SIGSOFT Softw. Eng. Notes","November 2006","31","6","","November","2006","0163-5948","","","","","","ACM","New York, NY, USA"
"article","979745","  ACM SIGSOFT Software Engineering Notes staff","","","","Back Matter (Abstracts and Calendar)","27--62","","36","","10.1145/979743.979745","SIGSOFT Softw. Eng. Notes","March 2004","29","2","","March","2004","0163-5948","","","","","","ACM","New York, NY, USA"
"article","773128","  ACM SIGSOFT Software Engineering Notes staff","","","","Back Matter","22--37","","16","","10.1145/773126.773128","SIGSOFT Softw. Eng. Notes","May 2003","28","3","","May","2003","0163-5948","","","","","","ACM","New York, NY, USA"
"article","1108769","  ACM SIGSOFT Software Engineering Notes staff","","","","Frontmatter (TOC, Letter from the Chair, Letter from the Editor, Letters to the Editor, ACM Policy and Procedures on Plagiarism, PASTE Abstracts, Calendar of Future Events, Workshop and Conference Information)","0--0","","1","","10.1145/1108768.1108769","SIGSOFT Softw. Eng. Notes","January 2006","31","1","","January","2006","0163-5948","","","","","","ACM","New York, NY, USA"
"article","986712","  ACM SIGSOFT Software Engineering Notes staff","","","","Backmatter (Abstracts and Calendar)","31--37","","7","","10.1145/986710.986712","SIGSOFT Softw. Eng. Notes","May 2004","29","3","","May","2004","0163-5948","","","","","","ACM","New York, NY, USA"
"article","276772","CORPORATE  IEEE-CS-ACM Joint Task Force on Software Engineering Ethics","","","","Software Engineering Code of Ethics and Professional Practice: Version 4","29--32","","4","","10.1145/276755.276772","","","","","","","1998","","Proceedings of the Ethics and Social Impact Component on Shaping Policy in the Information Age","ACM POLICY '98","","1-58113-038-4","Washington, D.C., USA","ACM","New York, NY, USA"
"article","276772","CORPORATE  IEEE-CS-ACM Joint Task Force on Software Engineering Ethics","","","","Software Engineering Code of Ethics and Professional Practice: Version 4","29--32","","4","","10.1145/276758.276772","SIGCAS Comput. Soc.","June 1998","28","2","","June","1998","0095-2737","","","","","","ACM","New York, NY, USA"
"article","2408748","  Polyhedron Software","","","","Fortran Compiler Comparisons Diagnostic Capabilities","7--16","","10","","10.1145/2408747.2408748","SIGPLAN Fortran Forum","December 2012","31","3","","December","2012","1061-7264","","","","","","ACM","New York, NY, USA"
"article","2460237","  Polyhedron Software","","","","Fortran Compiler Comparisons Execution Time Benchmarks","4--7","","4","","10.1145/2460236.2460237","SIGPLAN Fortran Forum","April 2013","32","1","","March","2013","1061-7264","","","","","","ACM","New York, NY, USA"
"article","1142175","  Dr. Usability","","","","The Globalization Malaise","7--8","","2","","10.1145/1142169.1142175","interactions","July + August 2006","13","4","","July","2006","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1060197","  Dr. Usability","","","","Distressed in a Cube","9--11","","3","","10.1145/1060189.1060197","interactions","May + June 2005","12","3","","May","2005","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1189984","  Dr. Usability","","","","Cool vs. Usable","9--10","","2","","10.1145/1189976.1189984","interactions","January + February 2007","14","1","","January","2007","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1052450","  Dr. Usability","","","","Greeking and Internationalization","10--","","","","10.1145/1052438.1052450","interactions","March + April 2005","12","2","","March","2005","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1151320","  Dr. Usability","","","","Too Smart and Too Rich?","7--9","","3","","10.1145/1151314.1151320","interactions","September + October 2006","13","5","","September","2006","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1242429","  Dr. Usability","","","","Hunting for Patterns and Contradictions","9--","","","","10.1145/1242421.1242429","interactions","May + June 2007","14","3","","May","2007","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1167956","  Dr. Usability","","","","I Like It Like That!","9--10","","2","","10.1145/1167948.1167956","interactions","November + December 2006","13","6","","November","2006","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1273969","  Dr. Usability","","","","New Math","9--","","","","10.1145/1273961.1273969","interactions","July + August 2007","14","4","","July","2007","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1125872","  Dr. Usability","","","","Lost in the Localization Forest","8--","","","","10.1145/1125864.1125872","interactions","May + June 2006","13","3","","May","2006","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1116725","  Dr. Usability","","","","What's the Right Thing?","9--","","","","10.1145/1116715.1116725","interactions","March + April 2006","13","2","","March","2006","1072-5520","","","","","","ACM","New York, NY, USA"
"article","2414537","Elin  Abdul Rahim and Andreas  Duenser and Mark  Billinghurst and Alfred  Herritsch and Keith  Unsworth and Alan  Mckinnon and Peter  Gostomski","","","","A Desktop Virtual Reality Application for Chemical and Process Engineering Education","1--8","","8","educational software, engineering, evaluation, usability, virtual reality","10.1145/2414536.2414537","","","","","","","2012","","Proceedings of the 24th Australian Computer-Human Interaction Conference","OzCHI '12","","978-1-4503-1438-1","Melbourne, Australia","ACM","New York, NY, USA"
"article","62168","CORPORATE Inc. Software Productivity Solutions","","","","Naval Avionics Center Ada-based Design Languages Workshop Summary of Events","104--118","","15","","10.1145/62162.62168","Ada Lett.","July/Aug. 1988","VIII","4","","July","1988","1094-3641","","","","","","ACM","New York, NY, USA"
"article","1041287","  Dr. Usability","","","","Ask Dr. Usability","9--9","","1","","10.1145/1041280.1041287","interactions","January + February 2005","12","1","","January","2005","1072-5520","","","","","","ACM","New York, NY, USA"
"article","1070974","  Dr. Usability","","","","Seeing is Believing","13--","","","","10.1145/1070960.1070974","interactions","July + August 2005","12","4","","July","2005","1072-5520","","","","","","ACM","New York, NY, USA"
