"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"technical report","3079760","  K-12 Computer Science Framework Steering Committee","","","","","","","","","","","","","","","","2016","","K-12 Computer Science Framework","","","978-1-4503-5278-9","","ACM","New York, NY, USA"
"article","77482","CORPORATE  Computer Science and Technology Board","","","","Scaling Up: A Research Agenda for Software Engineering","281--293","","13","","10.1145/77481.77482","Commun. ACM","March 1990","33","3","","March","1990","0001-0782","","","","","","ACM","New York, NY, USA"
"article","1940523","  The SCIEnce project","","","","SymGrid-Par: Parallel Orchestration of Symbolic Computation Systems","213--216","","4","","10.1145/1940475.1940523","ACM Commun. Comput. Algebra","September/December 2010","44","3/4","","January","2011","1932-2240","","","","","","ACM","New York, NY, USA"
"article","1940522","  The SCIEnce project","","","","Symbolic Computation Software Composability Protocol and Its Implementations","210--212","","3","","10.1145/1940475.1940522","ACM Commun. Comput. Algebra","September/December 2010","44","3/4","","January","2011","1932-2240","","","","","","ACM","New York, NY, USA"
"article","175285","CORPORATE  Computer Science and Telecommunications Board","","","","Academic Careers for Experimental Computer Scientists and Engineers","87--90","","4","","10.1145/175276.175285","Commun. ACM","April 1994","37","4","","April","1994","0001-0782","","","","","","ACM","New York, NY, USA"
"article","214931","CORPORATE  ASL Committee on Logic Education","","","","The 1984 Snowbird Report: Future Issues in Computer Science","490--493","","4","","10.1145/3532.214931","Commun. ACM","May 1985","28","5","","May","1985","0001-0782","","","","","","ACM","New York, NY, USA"
"technical report","2594500","  Compiled by the ACM Education Board","","","","","","","","","","","","","","","","1983","","ACM Curricula Recommendations for Related Computer Science Programs in Vocational-Technical Schools, Community and Junior Colleges, and Health Computing","","","0-89791-119-9","","ACM","New York, NY, USA"
"book","3108241","  ACM Committee for Computing Education in Community Colleges (CCECC)","","","","","","","","","","","","","","","","2017","","ACM Computer Science Curricular Guidance for Associate-Degree Transfer Programs with Infused Cybersecurity","","","978-1-4503-5369-4","","ACM","New York, NY, USA"
"article","611911","Vicki L. Almstrum and David  Ginat and Orit  Hazzan and John M. Clement","","","","Transfer to/from Computing Science Education: The Case of Science Education Research","303--304","","2","cognition, learning theories, mathematics education","10.1145/792548.611911","SIGCSE Bull.","January 2003","35","1","","January","2003","0097-8418","","","","","","ACM","New York, NY, USA"
"article","611911","Vicki L. Almstrum and David  Ginat and Orit  Hazzan and John M. Clement","","","","Transfer to/from Computing Science Education: The Case of Science Education Research","303--304","","2","cognition, learning theories, mathematics education","10.1145/611892.611911","","","","","","","2003","","Proceedings of the 34th SIGCSE Technical Symposium on Computer Science Education","SIGCSE '03","","1-58113-648-X","Reno, Navada, USA","ACM","New York, NY, USA"
"article","1140237","Boguslaw  Schreyer and Wojciech  Wawrzynski","","","","Finite Automata Models for CS Problem with Binary Semaphore","330--330","","1","computer science education, finite automata, process synchronization","10.1145/1140123.1140237","SIGCSE Bull.","September 2006","38","3","","June","2006","0097-8418","","","","","","ACM","New York, NY, USA"
"article","1140237","Boguslaw  Schreyer and Wojciech  Wawrzynski","","","","Finite Automata Models for CS Problem with Binary Semaphore","330--330","","1","computer science education, finite automata, process synchronization","10.1145/1140124.1140237","","","","","","","2006","","Proceedings of the 11th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education","ITICSE '06","","1-59593-055-8","Bologna, Italy","ACM","New York, NY, USA"
